specobjid,spiral,elliptical,uncertain
2522118110048184320,0,0,1
864840425427462144,0,1,0
2811430411194886144,0,0,1
1538146999658899456,0,1,0
845666041647360000,0,0,1
1147396778971129856,0,0,1
1777939772317132800,1,0,0
1444639577980561408,0,0,1
2562572164628768768,0,0,1
2179908851527084032,0,0,1
484174924584347648,0,0,1
1444605218242193408,0,0,1
2388188528803604480,0,0,1
1518849466617063424,0,1,0
3110995933517604864,0,0,1
481911579999234048,0,0,1
667720801155311616,0,0,1
1310623127851526144,0,0,1
1543711074191173632,0,0,1
3000634648289110016,0,0,1
417747383208667136,0,1,0
2519828933248051200,1,0,0
2658382509200402432,0,0,1
454943857113589760,0,0,1
631638682335471616,0,0,1
716218062549837824,1,0,0
1447996111481497600,0,0,1
1853382213320599552,1,0,0
1507755943545300992,0,0,1
997678199292848128,0,0,1
1019005705610356736,1,0,0
1540394401778395136,0,0,1
561862569774573568,0,0,1
2973536909311109120,1,0,0
669991842372151296,1,0,0
2005254727436101632,0,0,1
631755505445922816,0,1,0
305161787299358720,0,0,1
1542554117593917440,0,0,1
2403942050606114816,0,0,1
1931044854737954816,1,0,0
701498898291648512,0,0,1
2993831149677078528,0,0,1
1976022837915314176,0,0,1
2033430267049306112,0,0,1
701484879518394368,0,0,1
1348994709187487744,1,0,0
2427460066278926336,1,0,0
1909555981096871936,0,0,1
2356520388827047936,0,0,1
1470547649269622784,1,0,0
2472583457100818432,0,0,1
2287861660058150912,0,0,1
1360125615201609728,1,0,0
645181092680198144,0,1,0
1377123517039929344,0,0,1
2192269562941040640,0,1,0
2290204163725879296,1,0,0
1602223515413538816,1,0,0
2018826833922910208,0,0,1
2237239319242762240,0,0,1
2508659812762413056,0,1,0
1059571088712820736,0,0,1
1924237491980756992,0,0,1
1567318138612115456,0,0,1
2641462948924516352,1,0,0
2168607521042884608,0,0,1
1992847561236441088,0,0,1
479685068936210432,0,0,1
308568349703432192,0,0,1
1003215068378195968,0,0,1
2481497478499690496,0,0,1
1365842530943395840,0,0,1
1813953995337656320,0,0,1
1021348760359299072,0,0,1
808514092745648128,0,1,0
2034646612122298368,0,0,1
1781316638444906496,1,0,0
2809244032675375104,0,0,1
1969277058714462208,1,0,0
2817163540136224768,1,0,0
2393778989199026176,0,1,0
1647203984605210624,1,0,0
2664028226178803712,0,1,0
837720145991329792,1,0,0
2102183274829867008,0,0,1
1556008566924535808,0,1,0
1351163220978591744,0,1,0
2365591085549381632,1,0,0
1567298897158629376,0,0,1
2839684568473167872,1,0,0
1070864167423993856,0,0,1
1547144303644534784,0,1,0
2001967747256313856,1,0,0
1312807583869855744,0,1,0
1995168628906944512,0,0,1
1630473266877458432,0,0,1
2279985027192219648,0,0,1
2185458362529900544,0,1,0
1435573833657509888,0,0,1
740888354194745344,1,0,0
587839632096389120,1,0,0
2477122246821308416,0,0,1
1007789586455226368,1,0,0
1635997487569332224,0,0,1
2028939592152934400,0,0,1
1389421278762395648,1,0,0
2734959371527153664,0,0,1
1427770873456125952,0,0,1
1912977112063567872,1,0,0
581056469869291520,0,0,1
2554834626409424896,0,0,1
1452497512236607488,0,0,1
2372302503317366784,0,0,1
2024375243937703936,0,0,1
1089919253924046848,0,0,1
2498503898700998656,0,0,1
2054831985083312128,0,0,1
372804300532901888,0,0,1
586734902855100416,0,0,1
882792427423819776,0,1,0
2908274294867912704,0,0,1
1766702483486304256,0,0,1
1318528068024821760,1,0,0
1314083017139972096,1,0,0
1785740798457833472,1,0,0
2434234976716220416,0,0,1
3248372764414863360,0,0,1
854710624347777024,0,0,1
1766571366724691968,1,0,0
1516740053995382784,1,0,0
2849828113028769792,1,0,0
506811670497093632,0,1,0
2178790924035844096,0,0,1
1524477317169047552,0,0,1
942488492393392128,0,0,1
1509954417363806208,0,0,1
1050614190990977024,0,0,1
3091853706342197248,0,1,0
656525024492021760,1,0,0
834311934990903296,0,0,1
1876977181956007936,1,0,0
1780159131101980672,0,0,1
549535393918248960,0,0,1
2974634496827090944,0,0,1
554108263466035200,1,0,0
1604548703366965248,0,0,1
2945382544205441024,0,0,1
2945466656844965888,0,0,1
1189006972846893056,0,0,1
984038207073052672,0,0,1
1789197663468546048,1,0,0
748855690696615936,0,0,1
1497588210690189312,1,0,0
476281254791112704,1,0,0
1573020485774501888,0,0,1
2645954179566168064,0,0,1
1136166915903875072,1,0,0
2373527354019440640,1,0,0
1024680555536476160,0,0,1
315380918699190272,0,0,1
2585111328750331904,0,0,1
618219687406233600,0,0,1
2804643395778144256,0,0,1
1396260241254934528,0,0,1
1781280904317003776,0,0,1
2266600678640084992,0,0,1
2850825095482468352,1,0,0
2432057938290960384,0,0,1
1138394526595966976,0,0,1
1326345322028361728,0,0,1
2898155214295033856,0,0,1
1971458215241607168,0,0,1
2818228961467721728,0,0,1
508955443343681536,0,0,1
500032906014517248,0,0,1
746531047851714560,0,0,1
2035791478621497344,1,0,0
1551573685867931648,0,0,1
476291700151576576,0,0,1
503413079535544320,0,0,1
1765469656090437632,0,0,1
1472738702022174720,1,0,0
2984847864951236608,1,0,0
2028877744623872000,1,0,0
3106366990017652736,1,0,0
322056610040014848,0,1,0
1919803441748666368,0,0,1
2561436918822758400,0,0,1
1848756286598965248,0,0,1
2490639641330345984,1,0,0
2527667901448611840,1,0,0
3139061243466246144,1,0,0
2254226219203586048,0,0,1
1525671386947807232,0,0,1
3323729993887934464,0,1,0
2061619013150074880,1,0,0
1076524728212023296,0,0,1
3134562591238547456,0,0,1
2989347885746776064,0,0,1
328788363437959168,0,0,1
1468240324068403200,0,0,1
1541409525972625408,0,0,1
2740497337171339264,0,0,1
1371442339251251200,1,0,0
343539686381217792,0,1,0
2893738201158019072,1,0,0
638513927822534656,0,1,0
1938886290749548544,1,0,0
1173258392270039040,0,0,1
2373456160641542144,0,0,1
323210273018112000,1,0,0
328868352908879872,1,0,0
523616056493762560,0,0,1
2995006527707834368,0,0,1
485289829374912512,0,0,1
1631564532100917248,0,0,1
455016699758929920,0,1,0
424586621535414272,0,0,1
1987325269035214848,0,0,1
2392655013454309376,1,0,0
1848796693651286016,0,0,1
1530240685398059008,0,0,1
1071902656340977664,0,0,1
2427471336273111040,1,0,0
681228856744503296,0,0,1
2002013926744680448,1,0,0
2254181688982661120,0,0,1
1521101541191215104,1,0,0
2180868451273304064,0,0,1
728486694495479808,1,0,0
1980561616797722624,0,0,1
1857909996767963136,1,0,0
2563682121499568128,0,0,1
3096239383515260928,0,0,1
1020239902798800896,1,0,0
707170729560401920,0,0,1
2196782232834697216,0,0,1
1393886121225644032,0,1,0
752164945717651456,1,0,0
735258579765848064,1,0,0
2025504987185965056,1,0,0
1085388445309757440,1,0,0
1114813297577715712,1,0,0
1545987891954477056,0,0,1
2895903414011586560,0,0,1
1975974184525785088,0,0,1
1580853951434090496,0,0,1
485331061060954112,0,0,1
1595538209402546176,1,0,0
2371187047563028480,0,1,0
1952341000814880768,0,0,1
811822523602724864,1,0,0
483013289593300992,0,0,1
690200046859216896,0,0,1
888420552820156416,0,1,0
1110250598831253504,0,1,0
1549343052122843136,0,0,1
1960314659441502208,0,0,1
2909328452614121472,0,0,1
2079611689912788992,1,0,0
1435582904628439040,0,0,1
454972169538004992,1,0,0
2412953379018926080,1,0,0
308598036517382144,1,0,0
1584165406602455040,0,0,1
1169903507113797632,0,0,1
3325952106921224192,1,0,0
3131264876576532480,0,0,1
2639176239717312512,0,0,1
2893614780977801216,1,0,0
2493959067001710592,0,0,1
2367907475111307264,0,0,1
1508852156873074688,0,0,1
1070788301121677312,0,0,1
1972639640519206912,0,0,1
1820731384424065024,1,0,0
1626936411875731456,0,0,1
1823962299761715200,0,0,1
1981700161172170752,1,0,0
2800113957577189376,0,0,1
2086347837666256896,1,0,0
2674043952960661504,1,0,0
962739567952160768,1,0,0
1932212529627424768,0,0,1
2225925889483368448,0,0,1
1310633298334083072,0,0,1
1129349119127611392,1,0,0
2930843151860000768,0,0,1
972880087894484992,1,0,0
1600076443780409344,0,0,1
1485116999532046336,1,0,0
2246171196078974976,1,0,0
952523456199550976,1,0,0
502187124439672832,0,0,1
467326557032048640,1,0,0
1893896737450387456,1,0,0
1145211224716240896,0,0,1
1495261643481835520,1,0,0
573135594092259328,0,0,1
1476074615469008896,0,0,1
336730136965572608,0,0,1
1436664000090761216,1,0,0
1143996540134647808,1,0,0
1168771834200483840,0,0,1
622797504370468864,0,1,0
1347788544915040256,0,0,1
2504134497730062336,0,1,0
3110882134064130048,0,0,1
550681360180733952,0,0,1
3109838148209764352,0,0,1
2254184987517544448,0,1,0
2283433377027614720,0,0,1
1311717692163516416,0,1,0
2585126996791027712,1,0,0
2515314057217599488,0,0,1
2006382001766033408,0,0,1
748842771434989568,0,0,1
531561403148953600,0,0,1
2236160968348428288,1,0,0
2180906659302369280,0,0,1
2041281335598802944,1,0,0
1917416676060588032,0,1,0
1990713688591460352,0,0,1
2846428423058909184,0,0,1
2421930072513472512,0,1,0
2583962339082528768,0,0,1
2846350907489150976,1,0,0
1619206295242434560,1,0,0
1064055171052496896,1,0,0
2820397198397696000,0,0,1
1788064616618682368,1,0,0
1525673860848969728,0,0,1
637307488454076416,1,0,0
1920921913140471808,0,0,1
1789152583491807232,0,0,1
1968241039772772352,0,1,0
1517829674397362176,0,0,1
2747330252047935488,1,0,0
2568336354320607232,1,0,0
1982781535723481088,0,0,1
2902660188462934016,0,0,1
1539245137232685056,0,0,1
1558351626303989760,1,0,0
823050465359980544,1,0,0
1311776790913509376,0,0,1
593494700611102720,0,0,1
567517638457059328,0,0,1
301870669925214208,1,0,0
369398012067211264,0,0,1
864770606439098368,0,0,1
1955735468440053760,1,0,0
596867172349798400,0,0,1
2442102521246803968,0,0,1
2995007902097369088,1,0,0
328852409990277120,1,0,0
2054882562618189824,0,0,1
1148466054264023040,0,0,1
2587393365167335424,1,0,0
399790429316343808,0,1,0
1074250938232891392,0,1,0
2846349807977523200,0,0,1
574373369424668672,0,0,1
2552537746652555264,0,0,1
1352367461189576704,0,0,1
2516551832835221504,0,0,1
1999680762651109376,0,0,1
2831717225797281792,1,0,0
1098957239521142784,0,0,1
1454714127711758336,0,0,1
2832841477460092928,1,0,0
991951117883566080,1,0,0
2406188084342319104,0,1,0
564172647848503296,1,0,0
2441071734632245248,0,1,0
2037926723793741824,0,0,1
2549194131272394752,0,0,1
3097435377305151488,1,0,0
2352059115028637696,0,0,1
2232716472742864896,0,1,0
597887244296022016,1,0,0
2982614477008037888,0,0,1
3088441097580472320,0,1,0
3102991488884172800,0,1,0
2229410241127147520,0,1,0
1773377349153220608,0,0,1
1426536946515077120,0,0,1
1625862188881176576,0,1,0
3109909891343476736,0,0,1
1169858152259151872,1,0,0
1039347216470272000,0,0,1
1306170105759033344,1,0,0
2568263236797360128,0,0,1
2505279912525457408,0,0,1
2193318496312518656,0,0,1
2009895785176524800,1,0,0
1854452038688073728,1,0,0
2216984659382790144,0,0,1
2079643300872087552,1,0,0
2472527931763615744,0,0,1
1303914182676080640,0,0,1
3095167909417216000,0,0,1
1484057894788818944,1,0,0
995442342280325120,0,0,1
1934396160106063872,0,0,1
426739184452003840,0,1,0
2055896862010927104,1,0,0
323295760047171584,0,0,1
959315963621173248,0,0,1
2237203859992766464,0,0,1
1177776555980515328,1,0,0
734212944090392576,0,0,1
888422202087598080,1,0,0
2820432932525598720,0,0,1
305206317520283648,0,0,1
3124503159456688128,0,0,1
1595478011140925440,1,0,0
1997493557484611584,0,0,1
2346476892179163136,0,0,1
441361314778998784,0,1,0
1133839250828060672,0,0,1
2441114890463635456,0,0,1
2238366313695176704,0,0,1
2185453139849668608,0,0,1
3121107317693638656,1,0,0
1109163731385870336,0,0,1
586715661401614336,0,0,1
550628858500507648,0,0,1
1945614191930927104,0,0,1
2820434032037226496,0,0,1
2275496271710021632,0,0,1
1341088396033943552,0,0,1
570849709065791488,0,0,1
2801410561647077376,0,0,1
2796827522220713984,0,0,1
2199005719703873536,0,1,0
1463784003105482752,0,0,1
2175276884252715008,0,0,1
306373724964153344,0,0,1
1036959626567903232,0,0,1
2922976416477767680,0,0,1
1968125591051855872,0,0,1
2085259595495794688,0,0,1
2227170261734549504,1,0,0
2672954336853649408,0,1,0
564156704929900544,0,1,0
301814869710104576,1,0,0
1135011879995860992,0,0,1
1641623964033771520,0,0,1
1610136148074588160,0,0,1
2085305774984161280,1,0,0
1454688289188505600,1,0,0
2366644422000535552,1,0,0
839940609505519616,0,1,0
951505307996022784,0,0,1
1946717012663232512,0,0,1
2913949975215892480,1,0,0
354823150422222848,1,0,0
973967230066780160,1,0,0
648611019203045376,0,0,1
2937588930523981824,0,0,1
1308469459349956608,0,1,0
2988303075611011072,1,0,0
532573228288206848,0,0,1
676695294804518912,0,0,1
1620219494351792128,0,0,1
1862356152348600320,1,0,0
2568211284872947712,0,0,1
1767707986551138304,1,0,0
2477035660280621056,0,0,1
959317887766521856,0,0,1
2390454340897761280,1,0,0
2811439757043722240,0,0,1
3088491125359536128,0,0,1
1182295003393714176,0,0,1
1092187271551019008,1,0,0
1120415863539787776,1,0,0
1132682014873380864,1,0,0
1389361905134495744,0,0,1
674421504775055360,1,0,0
614892843856586752,0,1,0
1828526926461954048,0,0,1
3341830154740590592,0,0,1
1769935597578774528,1,0,0
808522888838670336,0,0,1
1527980090028222464,0,0,1
1520129847723059200,0,0,1
2058256414048020480,1,0,0
1989634792706041856,1,0,0
952635881263491072,1,0,0
1356767706656827392,0,0,1
1187957214069942272,0,0,1
3249511033844295680,0,1,0
2269862379565115392,0,0,1
882720684290107392,1,0,0
1859024356299008000,0,0,1
1651758712395687936,1,0,0
3324881457456900096,1,0,0
1493078562775787520,0,0,1
1430041640818468864,0,0,1
1554950011668686848,1,0,0
2367845627582244864,0,1,0
2651521282268489728,1,0,0
2220296664676067328,1,0,0
1042725466097608704,0,0,1
1992942668992243712,0,0,1
1865730828781250560,0,0,1
1882563801040054272,0,1,0
2789989108863232000,1,0,0
2666278377010259968,0,0,1
1797054499118934016,0,0,1
2066043997796722688,0,1,0
1611237308802033664,0,0,1
664445631414167552,0,0,1
1876914509793224704,1,0,0
1518867608558921728,1,0,0
1557201262179543040,0,0,1
2100938627616892928,0,0,1
1319600641718380544,0,0,1
2734983011027150848,0,1,0
936791642235496448,1,0,0
308613429680171008,0,1,0
1495313595406247936,0,0,1
2169646834476148736,0,0,1
950392877056288768,0,1,0
940179237795555328,0,0,1
1648443409557383168,1,0,0
2250761933479241728,0,0,1
1135052836803995648,0,0,1
2107688530707769344,0,0,1
2355401904617449472,1,0,0
1044955003569072128,0,0,1
2639232589688236032,0,0,1
655310613731371008,0,0,1
621627898758981632,0,0,1
3092948819940239360,0,0,1
1430060057638234112,0,0,1
1029238311882876928,0,0,1
1360227594905085952,0,0,1
2827248255786575872,1,0,0
1176654783688239104,1,0,0
579967404172404736,0,1,0
2802455092794517504,1,0,0
1141831051111327744,0,0,1
1515595187496183808,0,1,0
645285546284836864,0,0,1
1377064693167843328,0,0,1
745443630885398528,1,0,0
2194503770602235904,0,0,1
1065264354854725632,0,0,1
1899499850165151744,1,0,0
2669546400513026048,0,0,1
2500752399577147392,0,0,1
2013215761023133696,0,0,1
2985898448328353792,0,1,0
395304420314736640,1,0,0
1855635931793483776,0,0,1
709384870547187712,0,0,1
1603284814734059520,0,0,1
2397123986132592640,0,1,0
2084143316147922944,0,1,0
1525632079407114240,0,0,1
1580803648777119744,0,0,1
3142538174161512448,0,1,0
2562667272384571392,0,0,1
1576278069738498048,0,0,1
2652740090807216128,0,0,1
2403823578228221952,0,1,0
1920837250745133056,1,0,0
1316293585519273984,0,0,1
3115491557256488960,0,0,1
1921976627101722624,0,0,1
1533597770080872448,0,0,1
1133787298903648256,0,0,1
1815035639935035392,0,0,1
2811474666537904128,1,0,0
3141416947162310656,0,0,1
2584091531698792448,0,0,1
3091792133691041792,0,0,1
2394951069684754432,1,0,0
486423151102683136,0,0,1
1010071898119235584,0,0,1
2662870990157015040,1,0,0
2928504485007353856,0,1,0
673380817002588160,1,0,0
1620308554793641984,0,0,1
2520981213397673984,0,0,1
2274381641059166208,0,1,0
541652720080152576,0,0,1
1424334071160399872,1,0,0
731878680988510208,0,0,1
2585186645296834560,0,0,1
1030203953305905152,0,0,1
608059100705613824,0,0,1
2104418307259000832,1,0,0
373898314585761792,0,0,1
1514431354303965184,1,0,0
3320387753383847936,1,0,0
2386996927574075392,1,0,0
3110929962819938304,0,0,1
2381412227820316672,1,0,0
1980623189448878080,0,0,1
396329165135046656,0,0,1
3328238815625111552,0,0,1
655427161963915264,0,0,1
703800452583548928,0,0,1
1385012511140505600,0,1,0
1935476705594468352,0,0,1
2083035837456476160,1,0,0
2555950081006135296,1,0,0
1451360067457673216,1,0,0
1022392196894058496,0,1,0
313085693008046080,0,0,1
433566326926108672,0,0,1
572000623080269824,0,0,1
2580697613829433344,0,0,1
1795941518490494976,0,0,1
2840771435750778880,1,0,0
577656504568539136,0,0,1
2068332063559280640,0,1,0
1907448773034928128,1,0,0
2341877909750310912,0,0,1
950263959317932032,0,0,1
938048933815412736,0,0,1
2798000151908608000,0,0,1
1964770980219873280,1,0,0
1480644186230253568,0,0,1
2353243563342456832,0,0,1
2934235964412815360,1,0,0
1567285428141189120,0,1,0
2674122293164140544,1,0,0
1777921630375274496,1,0,0
1345559011151341568,1,0,0
2234912472156891136,0,0,1
2473651632999524352,0,0,1
1467220253112035328,0,0,1
2240698652785928192,1,0,0
1046009985026254848,1,0,0
1365846654112000000,0,0,1
516805131950385152,0,0,1
841152271252219904,0,0,1
2432009284901431296,1,0,0
1935467359745632256,0,0,1
2925156473577170944,1,0,0
882865544947066880,1,0,0
2569399031839090688,1,0,0
1145072136495327232,0,1,0
1468255717231192064,1,0,0
1089889017354283008,0,0,1
1553743847329130496,0,1,0
1611180134197389312,0,0,1
2396000827421517824,0,0,1
887350453061314560,0,1,0
697048899940018176,0,0,1
2165175670408243200,0,1,0
2797902570251642880,0,0,1
2288989203544958976,0,1,0
1947956431105845248,1,0,0
2509647174288041984,0,1,0
2989382795240957952,0,0,1
2204540936568989696,0,0,1
618177356208564224,0,0,1
2414071025642792960,0,0,1
378354079283308544,0,0,1
2391499701191993344,0,0,1
2933088354687805440,0,1,0
2505132303089428480,1,0,0
1638316357676197888,1,0,0
1914032649165367296,1,0,0
1055123289267005440,0,0,1
1443502408029202432,1,0,0
1558309020228413440,1,0,0
574238404372359168,0,0,1
2242842700359428096,1,0,0
2571631315740813312,1,0,0
846834272751872000,0,0,1
2671873516973877248,1,0,0
855706782050314240,0,0,1
2114446422303598592,1,0,0
613691077597095936,0,0,1
820952872186308608,0,0,1
2012073643269449728,0,0,1
2938670025331992576,0,1,0
2099875949595092992,0,0,1
1532454277937653760,0,0,1
2230459450601269248,1,0,0
1102427298453284864,0,0,1
2481484284360157184,0,0,1
700318572609562624,1,0,0
1960335550162429952,0,1,0
2226069100872886272,1,0,0
1541380114036582400,1,0,0
1556056395680344064,0,1,0
2402705375724857344,0,0,1
592332791195133952,1,0,0
1613578169778989056,1,0,0
468474172310317056,0,1,0
1811680480085436416,0,0,1
1641694057900042240,1,0,0
1081990678981928960,0,1,0
1001087789581756416,0,0,1
830962826934773760,0,0,1
2430840236595505152,0,0,1
2079643025994180608,1,0,0
1055023508586784768,1,0,0
2050423487557822464,0,0,1
2414038590049773568,0,0,1
1630312188423989248,0,1,0
1512226833087621120,0,0,1
1894968490821969920,0,0,1
1607788965560084480,0,0,1
311908665944729600,0,0,1
1536976019758540800,1,0,0
985175652120422400,0,0,1
1020116207740676096,1,0,0
1456940639043217408,0,0,1
2671849052840159232,0,1,0
1956830032198395904,0,0,1
2367802196872947712,0,0,1
931204748776859648,0,0,1
1139563857161775104,1,0,0
1562800800072230912,0,0,1
1498574196802873344,1,0,0
704940369787250688,1,0,0
1079820789361960960,1,0,0
1348987287484000256,0,0,1
994196596545579008,1,0,0
2930873388429764608,0,0,1
2343093694850164736,1,0,0
1523509476571768832,0,0,1
675585612710963200,0,0,1
843416715315406848,1,0,0
2196803673311438848,0,0,1
3247251812796884992,1,0,0
1958064233983797248,0,1,0
1854440493815982080,0,0,1
1996285733106640896,1,0,0
594562595910871040,1,0,0
3127843750726887424,0,0,1
1570681819609720832,0,0,1
1568535298017617920,0,0,1
2053713231783946240,0,0,1
1768962529737861120,0,0,1
2381377318326134784,0,0,1
946905501000558592,0,0,1
1633837497530214400,0,0,1
839945832185751552,1,0,0
628398147059607552,1,0,0
447128528161368064,0,0,1
2200120624477661184,0,0,1
691331737522825216,1,0,0
1175490121684772864,0,0,1
1807084795017062400,0,1,0
736372934817376256,0,0,1
2802424306468939776,0,1,0
2483877095164372992,1,0,0
1789152033735993344,0,0,1
1961384484272105472,0,0,1
1089912381976373248,0,0,1
2001879786326091776,0,0,1
2657265679694063616,1,0,0
1319657816323024896,0,1,0
2577233877240145920,0,1,0
969400408436926464,0,0,1
2586305948184242176,0,0,1
2997207200247605248,1,0,0
2264279879119824896,0,1,0
1371347506373355520,0,0,1
2015504109666330624,0,0,1
2418543301872347136,1,0,0
1078710832356943872,0,0,1
2032341755839408128,0,0,1
814166132184344576,0,0,1
751027500955494400,0,0,1
826567799097812992,1,0,0
1853313218965956608,1,0,0
547203329688627200,0,0,1
551832548838238208,0,1,0
707145165915056128,0,0,1
3114409912675887104,0,0,1
1622551559856482304,1,0,0
2795711238141667328,0,1,0
3323754183143745536,1,0,0
951506957263464448,0,0,1
1009974316462270464,0,0,1
858076503949207552,0,1,0
833272346780395520,1,0,0
745357044344711168,1,0,0
740915017351718912,0,0,1
2104455140898531328,1,0,0
3123291222748194816,0,0,1
1795878846327711744,0,0,1
1120418887196764160,1,0,0
2802534532509624320,0,0,1
2519859444695721984,0,0,1
1134928317112150016,1,0,0
394083687462889472,1,0,0
2037954211584436224,0,0,1
2110082735161763840,0,1,0
3092987852603025408,0,0,1
2292417480297048064,1,0,0
2114469237169874944,1,0,0
1963610720473999360,0,0,1
515793581336717312,0,0,1
301797277524060160,0,0,1
2483908431245764608,0,0,1
2978040787960358912,0,0,1
1495354827092289536,0,0,1
2052643413597120512,1,0,0
2578451036930861056,1,0,0
2007587892603414528,0,0,1
301870120169400320,0,0,1
2921810384396511232,1,0,0
2728116841661622272,1,0,0
675679620955138048,0,0,1
2658373438229473280,1,0,0
3088402614673500160,1,0,0
2390455165531482112,0,0,1
2427476284075436032,0,0,1
2848594174511441920,0,0,1
2474898485275551744,0,0,1
2563742319761188864,0,0,1
2222634775548553216,1,0,0
1828523078171256832,0,0,1
1028072000091875328,0,0,1
2259702336916056064,1,0,0
1910747577259681792,0,1,0
1134961577338890240,0,0,1
1118047240263329792,0,0,1
1821795436868954112,0,1,0
1306071974346254336,0,0,1
384006663377545216,0,0,1
433611132024940544,0,0,1
948116338197424128,0,0,1
737568104225204224,0,0,1
2046945755297507328,1,0,0
1374860721606649856,1,0,0
2289049401806579712,0,0,1
1020189050386016256,0,0,1
1551582207083046912,1,0,0
2059375716717324288,0,0,1
2402694930364393472,0,0,1
1303813302484232192,1,0,0
1464798302632437760,0,0,1
2036915722818447360,0,0,1
2809126110053296128,0,0,1
2391548629459429376,1,0,0
2241701406954252288,0,0,1
873824260697647104,0,0,1
1343212652129708032,1,0,0
1106768170628179968,0,1,0
1055076560022824960,0,0,1
2186645560696530944,1,0,0
1883783984102533120,0,0,1
1092245545667291136,0,0,1
2581714387492431872,1,0,0
1550486268683511808,1,0,0
1362383737693693952,0,0,1
703829864519591936,1,0,0
2043508670960003072,0,0,1
1954640629686364160,0,1,0
2175352475677124608,0,0,1
1527923465179392000,0,0,1
620388749171255296,0,0,1
2662846526023297024,0,0,1
1024576926565558272,0,0,1
2734978338102732800,0,0,1
2734886528881813504,0,0,1
2484968906234554368,1,0,0
376212505409644544,0,0,1
3120018251392772096,0,0,1
2037925074526300160,0,0,1
1139418996504815616,0,0,1
3133526301445482496,0,1,0
682442442904987648,1,0,0
3144702283141376000,1,0,0
1585420772929726464,0,0,1
2418592230139783168,0,0,1
2474830040676722688,0,1,0
2111080267102840832,1,0,0
2562618344117135360,1,0,0
2199002696046897152,0,0,1
1851140578050336768,0,0,1
972927366894479360,1,0,0
656420021131569152,0,1,0
2745010011628398592,0,1,0
1445663222869813248,1,0,0
922197826027415552,1,0,0
2527750364820695040,1,0,0
2017755366334425088,1,0,0
1486218984524113920,0,0,1
1119275395003213824,0,0,1
823136777022760960,0,0,1
2390292712688478208,0,0,1
1053947361547544576,0,0,1
1422020973623797760,0,0,1
1015626352696518656,0,1,0
1584142316858271744,1,0,0
1034733390886103040,1,0,0
2657150505851054080,0,0,1
1604415112704190464,0,0,1
1616967689568282624,1,0,0
2341970818482857984,0,0,1
1909596663027099648,1,0,0
1639399651943671808,1,0,0
1513318373289650176,0,0,1
1022341069603366912,0,0,1
1808358029364586496,0,0,1
1478439940277692416,1,0,0
1138310963712256000,0,0,1
3103111335651600384,1,0,0
2983648572609685504,0,0,1
852382133329618944,0,0,1
